,event_id,num_perimeters_0_5h,dt_first_last_0_5h,low_temporal_resolution_0_5h,area_first_ha,area_growth_rel_0_5h,area_growth_rate_ha_per_h,log1p_area_first,log1p_growth,log_area_ratio_0_5h,radial_growth_rate_m_per_h,spread_bearing_deg,spread_bearing_sin,spread_bearing_cos,dist_min_ci_0_5h,dist_slope_ci_0_5h,closing_speed_m_per_h,dist_accel_m_per_h2,dist_fit_r2_0_5h,alignment_cos,alignment_abs,cross_track_component,along_track_speed,event_start_month,time_to_hit_hours,event,log_distance,inv_distance,inv_distance_sq,sqrt_distance,dist_km,dist_km_sq,dist_rank,fire_radius_km,radius_to_dist,area_to_dist_ratio,log_area_dist_ratio,has_movement,eta_hours,log_eta,effective_closing_speed,eta_effective,threat_score,fire_urgency,growth_intensity,zone_near,zone_far,is_summer,near_speed_rank,far_threat_rank
0,10892457,3,4.265188315,0,79.69630440288812,0.0360861727393774,0.6742808042632997,4.390692779963226,1.3547868227233073,0.0354503182610035,2.111790089470979,70.130507414482,0.9404692304473844,0.3398788410326602,6166.121595601341,0.1090997496115047,-0.1020005491598565,0.0727561088972823,0.8863732713999973,-0.054649077279923,0.054649077279923,-1.9372192309310183,-0.1060256858486571,5,18.89251184861111,0,8.726987491936944,0.1595883489879888,0.025468441132712103,78.52465597251185,6.166121595601341,38.021055531741226,0.3574660633484163,0.5036677633495323,0.08168307347503953,12.718601640101097,-4.336294711973718,1.0,9999.0,9.210340371976184,2.111790089470979,2919.8553522646775,-0.0006387354054055586,-0.3060016474795695,2.022842412789899,0.0,1.0,0.0,0.0,0.02631578947368421
1,11757157,2,1.1699176616666669,0,8.946749378249011,0.0,0.0,2.2972458021404853,0.0,0.0,0.0,0.0,0.0,1.0,2930.9259560987357,-3.88700304121087e-13,0.0,0.0,0.0,-0.5688982113791312,0.5688982113791312,-0.0,-0.0,6,22.048108008055557,1,7.9834148089696315,0.3299321773228511,0.10885524163299724,54.138026895138466,2.9309259560987355,8.590326960133288,0.24434389140271492,0.16875540810016557,0.05757750643581274,2.9518205023275605,-5.686169006829147,1.0,9999.0,9.210340371976184,0.0,9999.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0
2,11945086,4,4.777526033333333,0,106.48263768977486,0.0,0.0,4.677329324661036,0.0,0.0,0.0,0.0,0.0,1.0,3272.3750897353175,-1.3903267205472045e-13,0.0,7.965117912056314e-14,0.0,0.8823854383806744,0.8823854383806744,0.0,0.0,8,0.8888954830555557,1,8.093576869137323,0.29652692046141443,0.08792821455833,57.20467716660341,3.2723750897353177,10.708438727920228,0.27149321266968324,0.5821896279012712,0.17791042039388,31.574968636757482,-3.4162475444762865,1.0,9999.0,9.210340371976184,0.0,9999.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0
3,12044083,1,0.0,1,67.63112470975922,0.0,0.0,4.228746144805483,0.0,0.0,0.0,0.0,0.0,1.0,64119.87137716943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,60.953021470555555,0,11.06852519641857,0.01557150424869126,0.00024247174456700998,253.21901859293553,64.11987137716943,4111.357905424752,0.5701357466063348,0.4639790470360188,0.007236119428667842,1.0531183457617843,-6.839779051613086,0.0,9999.0,9.210340371976184,0.0,9999.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5131578947368421
4,12052347,2,4.9752730269444445,0,35.632873507966806,0.0,0.0,3.6009460205598707,0.0,0.0,0.0,0.0,0.0,1.0,18005.432260746456,3.656059463862199e-13,0.0,0.0,0.0,0.9346341155547664,0.9346341155547664,-0.0,0.0,7,44.99027446777778,0,9.798484320864024,0.05523204227319407,0.0030505784936678965,134.18432196328473,18.005432260746456,324.19559089632924,0.45248868778280543,0.33678325241499646,0.018704535805519968,1.9680763759073996,-6.197538300304153,1.0,9999.0,9.210340371976184,0.0,9999.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5131578947368421
5,12773599,1,0.0,1,184.7676097376819,0.0,0.0,5.224496482537319,0.0,0.0,0.0,0.0,0.0,1.0,35232.562968454935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,44.026383643611105,0,10.4697544007221,0.0283025038657061,0.0008010317250683088,187.70339093488678,35.232562968454936,1241.3334933261422,0.5203619909502263,0.7668986688347593,0.02176675791430198,5.229385988858018,-5.245257918184782,0.0,9999.0,9.210340371976184,0.0,9999.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5131578947368421
6,13122360,1,0.0,1,119.3642031465006,0.0,0.0,4.790522172608574,0.0,0.0,0.0,0.0,0.0,1.0,3530.4728859726333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,14.845391848611111,1,8.169470311054427,0.2754462108404073,0.07587061506633813,59.417782573675986,3.5304728859726335,12.464238798587935,0.2850678733031674,0.616399269288839,0.17459396777636577,32.87841746668821,-3.3789481384458533,0.0,9999.0,9.210340371976184,0.0,9999.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0
7,13745272,1,0.0,1,1388.2837780814414,0.0,0.0,7.236543625761477,0.0,0.0,0.0,0.0,0.0,1.0,8038.691358801407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,66.7679270386111,0,8.992145973227386,0.1228698762385887,0.015097006486886102,89.65874948269916,8.038691358801406,64.6205587620684,0.3891402714932127,2.102152352689753,0.2615042995012052,170.57825599690702,-1.7556023474659082,0.0,9999.0,9.210340371976184,0.0,9999.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5131578947368421
8,15247236,2,1.8927757616666667,0,4.493970164700372,0.0,0.0,1.703651157134196,0.0,0.0,0.0,0.0,0.0,1.0,31758.58114396278,0.0,0.0,0.0,0.0,0.1063221851337628,0.1063221851337628,0.0,0.0,8,39.9126300725,0,10.365949727111726,0.03138871739080887,0.000985251579440067,178.20937445589885,31.75858114396278,1008.6074762776682,0.502262443438914,0.11960247203294447,0.0037659891507993443,0.14105995946250674,-8.66229856997753,1.0,9999.0,9.210340371976184,0.0,9999.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5131578947368421
9,15743535,1,0.0,1,5.218524435149622,0.0,0.0,1.8275326495321964,0.0,0.0,0.0,0.0,0.0,1.0,1995.042355932941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,54.63810941305555,1,7.598921677053545,0.47731731874923883,0.22783182277796246,44.66589701251886,1.995042355932941,3.98019400196646,0.11764705882352941,0.12888397569130952,0.06460212501655864,2.4908920912130035,-5.771389027521348,0.0,9999.0,9.210340371976184,0.0,9999.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0
